block_id,year,sentinel2_ndvi_mean
I,2019,0.672368692800777
I,2020,0.7199310514789702
I,2021,0.6708977013147706
I,2022,0.6285212913819562
I,2023,0.7133657379377916
I,2024,0.6562891667215093
II,2019,0.6989211622396599
II,2020,0.7342855226461721
II,2021,0.6527345936496574
II,2022,0.6141017003393048
II,2023,0.7306712467404606
II,2024,0.7651620152257189
III,2019,0.7151032043885854
III,2020,0.7275855267668
III,2021,0.5765546970338269
III,2022,0.6075152503725049
III,2023,0.7667885399108931
III,2024,0.8190670998702165
IV,2019,0.6559074189686952
IV,2020,0.6696516252465314
IV,2021,0.5824215761099328
IV,2022,0.5822193846534603
IV,2023,0.7224600981817986
IV,2024,0.7671856127484382
V,2019,0.7034115628977455
V,2020,0.7462833276509628
V,2021,0.661876627705894
V,2022,0.6279204254266683
V,2023,0.7170131540248215
V,2024,0.7520213057656151
